upd,loss,best,alpha_sum,prob_0,prob_1,prob_2,prob_3,alpha_0,alpha_1,alpha_2,alpha_3,pused_0,pused_1,pused_2,pused_3,ophist_0,ophist_1,ophist_2,ophist_3,opimp_0,opimp_1,opimp_2,opimp_3
57,0.0808832049369812,466875537.2445179,6.117647647857666,0.2602810263633728,0.22616030275821686,0.25319704413414,0.26036161184310913,1.592307686805725,1.3835690021514893,1.5489702224731445,1.5928006172180176,0.36399999260902405,0.3720000088214874,0.1860000044107437,0.07800000160932541,0.2800000011920929,0.36000001430511475,0.2800000011920929,0.07999999821186066,0.14300000667572021,0.27799999713897705,0.14300000667572021,0.0
58,0.06975813210010529,466875537.2445179,6.084033489227295,0.26288026571273804,0.2250637710094452,0.2513269782066345,0.26072895526885986,1.599372386932373,1.3692954778671265,1.5290817022323608,1.5862836837768555,0.05900000035762787,0.5609999895095825,0.11699999868869781,0.2630000114440918,0.14000000059604645,0.5,0.11999999731779099,0.23999999463558197,0.0,0.07999999821186066,0.0,0.0
59,0.07397180795669556,466875537.2445179,6.050420761108398,0.262760728597641,0.22535178065299988,0.25175637006759644,0.2601310908794403,1.589812994003296,1.3634730577468872,1.5232319831848145,1.5739024877548218,0.1889999955892563,0.4959999918937683,0.22100000083446503,0.09399999678134918,0.25999999046325684,0.41999998688697815,0.25999999046325684,0.05999999865889549,0.07699999958276749,0.04800000041723251,0.23100000619888306,0.3330000042915344
60,0.06916025280952454,466875537.2445179,6.016806602478027,0.26254916191101074,0.22583834826946259,0.2506050765514374,0.2610073685646057,1.5797075033187866,1.35882568359375,1.5078423023223877,1.570430874824524,0.5099999904632568,0.10400000214576721,0.3160000145435333,0.07000000029802322,0.5600000023841858,0.11999999731779099,0.25999999046325684,0.05999999865889549,0.10700000077486038,0.0,0.15399999916553497,0.0
61,0.05946079641580582,466875537.2445179,5.983193397521973,0.26243922114372253,0.2261684238910675,0.25012096762657166,0.2612713873386383,1.570224642753601,1.353209376335144,1.496522068977356,1.563237190246582,0.2939999997615814,0.1509999930858612,0.25200000405311584,0.30300000309944153,0.36000001430511475,0.10000000149011612,0.25999999046325684,0.2800000011920929,0.11100000143051147,0.0,0.30799999833106995,0.07100000232458115
62,0.0631079226732254,466875537.2445179,5.949579238891602,0.26306939125061035,0.22461041808128357,0.25229477882385254,0.2600254714488983,1.5651521682739258,1.3363374471664429,1.5010477304458618,1.5470421314239502,0.6800000071525574,0.2240000069141388,0.0689999982714653,0.027000000700354576,0.6600000262260437,0.20000000298023224,0.07999999821186066,0.05999999865889549,0.12099999934434891,0.0,0.25,0.0
63,0.08317436277866364,466875537.2445179,5.915966987609863,0.2649153172969818,0.2245309203863144,0.24889472126960754,0.26165899634361267,1.5672303438186646,1.3283175230026245,1.472452998161316,1.5479660034179688,0.3230000138282776,0.23000000417232513,0.2590000033378601,0.18799999356269836,0.3199999928474426,0.18000000715255737,0.36000001430511475,0.14000000059604645,0.125,0.11100000143051147,0.27799999713897705,0.0
64,0.06503219902515411,466875537.2445179,5.88235330581665,0.2629238963127136,0.22508566081523895,0.2517527639865875,0.2602376639842987,1.5466113090515137,1.3240333795547485,1.4808987379074097,1.5308098793029785,0.42899999022483826,0.1509999930858612,0.10199999809265137,0.3179999887943268,0.3400000035762787,0.18000000715255737,0.07999999821186066,0.4000000059604645,0.0,0.11100000143051147,0.5,0.05000000074505806
65,0.07239008694887161,466875537.2445179,5.848739147186279,0.26274192333221436,0.22537995874881744,0.25161445140838623,0.26026371121406555,1.536708950996399,1.3181885480880737,1.4716273546218872,1.5222145318984985,0.44699999690055847,0.26499998569488525,0.03700000047683716,0.25099998712539673,0.5400000214576721,0.25999999046325684,0.019999999552965164,0.18000000715255737,0.11100000143051147,0.07699999958276749,0.0,0.0
66,0.06719985604286194,466875537.2445179,5.815126419067383,0.26259109377861023,0.22496525943279266,0.2526436150074005,0.2597999572753906,1.5270004272460938,1.3082014322280884,1.4691545963287354,1.5107696056365967,0.27000001072883606,0.5370000004768372,0.15700000524520874,0.035999998450279236,0.2800000011920929,0.46000000834465027,0.18000000715255737,0.07999999821186066,0.14300000667572021,0.12999999523162842,0.11100000143051147,0.25
